from_airport,from_city,from_country,from_long,from_lat,to_airport,to_city,to_country,to_long,to_lat,airline,airline_country,distance
Domododevo,Moscow,Russia,38.51,55.681,Penza Airport,Penza,Russia,45.035,53.184,Aerocondor,Portugal,504
Kazan,Kazan,Russia,49.464,56.01,Bugulma Airport,Bugulma,Russia,53.336,55.066,Aerocondor,Portugal,265
Nizhnevartovsk,Nizhnevartovsk,Russia,76.806,61.582,Bugulma Airport,Bugulma,Russia,53.336,55.066,Aerocondor,Portugal,1538
Rodriguez Ballon,Arequipa,Peru,-71.306,-15.902,Juliaca,Juliaca,Peru,-69.597,-15.112,Star Peru (2I),Peru,203
Juliaca,Juliaca,Peru,-69.597,-15.112,Rodriguez Ballon,Arequipa,Peru,-71.306,-15.902,Star Peru (2I),Peru,203
Jorge Chavez Intl,Lima,Peru,-76.524,-11.37,Cadete Guillermo Del Castillo Paredes,Tarapoto,Peru,-75.956,-6.182,Star Peru (2I),Peru,580
Cadete Guillermo Del Castillo Paredes,Tarapoto,Peru,-75.956,-6.182,Cap Fap David Abenzur Rengifo Intl,Pucallpa,Peru,-74.291,-7.964,Star Peru (2I),Peru,270
Bobo Dioulasso,Bobo-dioulasso,Burkina Faso,-3.885,11.266,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,-3.878,5.435,Air Burkina,Burkina Faso,648
Leon M Ba,Libreville,Gabon,9.687,0.764,Cadjehoun,Cotonou,Benin,2.64,6.595,Air Burkina,Burkina Faso,1015
Ouagadougou,Ouagadougou,Burkina Faso,-1.188,12.588,Cadjehoun,Cotonou,Benin,2.64,6.595,Air Burkina,Burkina Faso,787
Seymour,Galapagos,Ecuador,-89.777,-0.09,Mariscal Sucre Intl,Quito,Ecuador,-78.148,0.431,Aerolineas Galapagos (Aerogal),Ecuador,1294
Mariscal Sucre Intl,Quito,Ecuador,-78.148,0.431,Mariscal Lamar,Cuenca,Ecuador,-78.974,-2.816,Aerolineas Galapagos (Aerogal),Ecuador,372
Chisinau Intl,Kichinau Fir/acc/com,Moldova,29.551,47.546,Ferihegy,Budapest,Hungary,19.425,47.728,Moldavian Airlines,Moldova,758
Arlanda,Stockholm,Sweden,18.531,60.086,Gallivare,Gallivare,Sweden,21.357,67.22,Yuzhmashavia,Ukraine,805
Gallivare,Gallivare,Sweden,21.357,67.22,Arlanda,Stockholm,Sweden,18.531,60.086,Yuzhmashavia,Ukraine,805
Lycksele,Lycksele,Sweden,19.193,64.913,Arvidsjaur,Arvidsjaur,Sweden,19.469,65.983,Yuzhmashavia,Ukraine,119
Vilhelmina,Vilhelmina,Sweden,17.389,64.965,Hemavan Airport,Hemavan,Sweden,15.137,66.343,Yuzhmashavia,Ukraine,184
